"BUS_LIC_NO","REMARKS","InspectionType","INSPECTOR","SCHEDULED_DATE","SCHEDULED_TIME","COMPLETED_DATE","COMPLETED_TIME","DURATION","RESULT","NOTES","LOCKID","RECORDID","DURATION_EST","CREATED_DATE","CREATED_TIME","CREATED_BY","SEQID","CAPOVERRIDE","update_originator_id","update_timestamp","create_timestamp","exID","PathURL","PathURLDateAdded","insert_originator_id"
"1320","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608195","","","","","","","","000000000026CE52","","","","",""
"2100","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608197","","","","","","","","000000000026CE68","","","","",""
"2906","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081971","","","","","","","","000000000026CE6A","","","","",""
"2422","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081973","","","","","","","","000000000026CE6C","","","","",""
"2017","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436081993","","","","","","","","000000000026CE82","","","","",""
"10001","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082014","","","","","","","","000000000026CE9B","","","","",""
"10011","","FIRE LIFESAFETY","","","","2011-02-01 00:00:00","","","","","","YOLO:1102011436082024","","2011-02-01 00:00:00","","","","","","000000000026CEA6","","","","",""
"10013","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082025","","","","","","","","000000000026CEA7","","","","",""
"10018","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082030","","","","","","","","000000000026CEAD","","","","",""
"10024","","FIRE LIFESAFETY","","","","2011-02-01 00:00:00","","","","","","YOLO:1102011436082035","","2011-02-01 00:00:00","","","","","","000000000026CEB2","","","","",""
"10046","","FIRE LIFESAFETY","","","","2011-02-01 00:00:00","","","","","","YOLO:1102011436082057","","2011-02-01 00:00:00","","","","","","000000000026CECA","","","","",""
"10048","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082059","","","","","","","","000000000026CECC","","","","",""
"10053","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082064","","","","","","","","000000000026CED2","","","","",""
"1312","","FIRE LIFESAFETY","","","","","","","","","","YOLO:110201143608209","","","","","","","","000000000026CEEE","","","","",""
"10081","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082092","","","","","","","","000000000026CEF1","","","","",""
"2273","","FIRE LIFESAFETY","","","","","","","","","","YOLO:11020114360821","","","","","","","","000000000026CEF9","","","","",""
"10091","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082102","","","","","","","","000000000026CEFD","","","","",""
"10096","","FIRE LIFESAFETY","","","","2011-02-01 00:00:00","","","","","","YOLO:1102011436082107","","2011-02-01 00:00:00","","","","","","000000000026CF03","","","","",""
"10099","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082110","","","","","","","","000000000026CF07","","","","",""
"10121","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082132","","","","","","","","000000000026CF1F","","","","",""
"10163","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082174","","","","","","","","000000000026CF4D","","","","",""
"10168","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082179","","","","","","","","000000000026CF52","","","","",""
"10177","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082188","","","","","","","","000000000026CF5C","","","","",""
"10185","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082196","","","","","","","","000000000026CF65","","","","",""
"10198","","FIRE LIFESAFETY","","","","","","","","","","YOLO:1102011436082209","","","","","","","","000000000026CF74","","","","",""
"10206","","FIRE LIFESAFETY","","","","2011-02-01 00:00:00","","","","","","YOLO:1102011436082217","","2011-02-01 00:00:00","","","","","","000000000026CF7D","","","","",""
